Comment,Designator,Footprint,LCSC
120R @ 100MHz,MFB2,L_0805_2012Metric,C1015
1k,"LMR2,R7",R_0402_1005Metric,C11702
10u,BRC3,C_1206_3216Metric,C13585
16MHz,CR2,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
10p,"CR_C3,CR_C4,HEC1,HEC10,HEC11,HEC12,HEC13,HEC14,HEC15,HEC16,HEC17,HEC18,HEC19,HEC2,HEC20,HEC21,HEC22,HEC23,HEC24,HEC25,HEC26,HEC27,HEC28,HEC29,HEC3,HEC30,HEC31,HEC32,HEC33,HEC34,HEC35,HEC36,HEC37,HEC38,HEC39,HEC4,HEC40,HEC41,HEC42,HEC5,HEC6,HEC7,HEC8,HEC9,HECC1,HECC10,HECC11,HECC12,HECC13,HECC14,HECC15,HECC16,HECC17,HECC18,HECC19,HECC2,HECC20,HECC21,HECC22,HECC23,HECC24,HECC25,HECC26,HECC27,HECC28,HECC29,HECC3,HECC30,HECC31,HECC32,HECC33,HECC34,HECC35,HECC36,HECC37,HECC38,HECC39,HECC4,HECC40,HECC41,HECC42,HECC5,HECC6,HECC7,HECC8,HECC9,LEDC1,LEDC10,LEDC11,LEDC12,LEDC13,LEDC14,LEDC15,LEDC16,LEDC17,LEDC18,LEDC19,LEDC2,LEDC20,LEDC21,LEDC22,LEDC23,LEDC24,LEDC25,LEDC26,LEDC27,LEDC28,LEDC29,LEDC3,LEDC30,LEDC31,LEDC32,LEDC33,LEDC34,LEDC35,LEDC36,LEDC37,LEDC38,LEDC39,LEDC4,LEDC40,LEDC41,LEDC42,LEDC5,LEDC6,LEDC7,LEDC8,LEDC9,MC1,MC10,MC11,MC12,MC8,MC9,MPC1,MPC2,MPC3",C_0402_1005Metric,C1525
USB-C 2.0 Receptacle,USB1,USB_C,C165948
10u,PWRL1,L_1210_3225Metric,C18184936
1N4148WS,BRD2,D_SOD-323,C2128
100,R6,R_0402_1005Metric,C25076
470,"LMR3,R3",R_0402_1005Metric,C25117
100k,R9,R_0402_1005Metric,C25741
10k,"HER1,HER10,HER11,HER12,HER13,HER14,HER15,HER16,HER17,HER18,HER19,HER2,HER20,HER21,HER22,HER23,HER24,HER25,HER26,HER27,HER28,HER29,HER3,HER30,HER31,HER32,HER33,HER34,HER35,HER36,HER37,HER38,HER39,HER4,HER40,HER41,HER42,HER5,HER6,HER7,HER8,HER9,LMR1,R4,R5,R8",R_0402_1005Metric,C25744
1.5k,R2,R_0402_1005Metric,C25867
5.1k,"USBR1,USBR2",R_0402_1005Metric,C25905
1M,BRR9,R_0402_1005Metric,C26083
1.1A,PWRF1,Fuse_1206_3216Metric,C2760273
PRTR5V0U2X,USBD1,SOT-143,C2827688
1u,"PWRC1,PWRC2",C_0805_2012Metric,C28323
SLSS49E-3,"HE1,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE2,HE20,HE21,HE22,HE23,HE24,HE25,HE26,HE27,HE28,HE29,HE3,HE30,HE31,HE32,HE33,HE34,HE35,HE36,HE37,HE38,HE39,HE4,HE40,HE41,HE42,HE5,HE6,HE7,HE8,HE9",SOT-23,C2904393
10n,"MC13,MC14,MC15",C_0402_1005Metric,C307413
SW_Push,BS1,SW_SPST_TL3342,C318884
LM3670MF,SD1,TSOT-23-5,C477918
SK6812,"LED1,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED2,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,LED3,LED30,LED31,LED32,LED33,LED34,LED35,LED36,LED37,LED38,LED39,LED4,LED40,LED41,LED42,LED5,LED6,LED7,LED8,LED9",SK6812-MINI-E,C5149201
STM32F411CEU6,U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,C60420
PW_LED 0603,D1,LED_0603_1608Metric,C7371898
BSS138,LM1,SOT-23,C82045
2N7002,"Q1,Q2",SOT-23,C8545
CD74HC4067SM,"MP1,MP2,MP3",SSOP-24_5.3x8.2mm_P0.65mm,C98457
