Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BRC3,10u,C_1206_3216Metric,109.057017,-130.457017,-45.0,top
BRD2,1N4148WS,D_SOD-323,110.632538,-128.882538,-45.0,top
BRR9,1M,R_0402_1005Metric,107.070047,-131.015632,-45.0,top
BS1,SW_Push,SW_SPST_TL3342,127.06875,-126.775,180.0,top
CR2,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,94.225,-137.925,0.0,top
CR_C3,10p,C_0402_1005Metric,97.0,-137.925,90.0,top
CR_C4,10p,C_0402_1005Metric,91.525,-137.925,-90.0,top
D1,PW_LED 0603,LED_0603_1608Metric,121.6,-126.65,-90.0,top
HE1,SLSS49E-3,SOT-23,43.725,-76.425,90.0,top
HE10,SLSS49E-3,SOT-23,215.175,-76.425,90.0,top
HE11,SLSS49E-3,SOT-23,234.225,-76.425,90.0,top
HE12,SLSS49E-3,SOT-23,253.275,-76.425,90.0,top
HE13,SLSS49E-3,SOT-23,50.86875,-95.475,90.0,top
HE14,SLSS49E-3,SOT-23,77.0625,-95.475,90.0,top
HE15,SLSS49E-3,SOT-23,96.1125,-95.475,90.0,top
HE16,SLSS49E-3,SOT-23,115.1625,-95.475,90.0,top
HE17,SLSS49E-3,SOT-23,134.2125,-95.475,90.0,top
HE18,SLSS49E-3,SOT-23,153.2625,-95.475,90.0,top
HE19,SLSS49E-3,SOT-23,172.3125,-95.475,90.0,top
HE2,SLSS49E-3,SOT-23,62.775,-76.425,90.0,top
HE20,SLSS49E-3,SOT-23,191.3625,-95.475,90.0,top
HE21,SLSS49E-3,SOT-23,210.4125,-95.475,90.0,top
HE22,SLSS49E-3,SOT-23,229.4625,-95.475,90.0,top
HE23,SLSS49E-3,SOT-23,250.89375,-95.475,90.0,top
HE24,SLSS49E-3,SOT-23,43.725,-114.525,90.0,top
HE25,SLSS49E-3,SOT-23,62.775,-114.525,90.0,top
HE26,SLSS49E-3,SOT-23,84.20625,-114.525,90.0,top
HE27,SLSS49E-3,SOT-23,105.6375,-114.525,90.0,top
HE28,SLSS49E-3,SOT-23,124.6875,-114.525,90.0,top
HE29,SLSS49E-3,SOT-23,143.7375,-114.525,90.0,top
HE3,SLSS49E-3,SOT-23,81.825,-76.425,90.0,top
HE30,SLSS49E-3,SOT-23,162.7875,-114.525,90.0,top
HE31,SLSS49E-3,SOT-23,181.8375,-114.525,90.0,top
HE32,SLSS49E-3,SOT-23,200.8875,-114.525,90.0,top
HE33,SLSS49E-3,SOT-23,219.9375,-114.525,90.0,top
HE34,SLSS49E-3,SOT-23,246.13125,-114.525,90.0,top
HE35,SLSS49E-3,SOT-23,43.725,-133.575,90.0,top
HE36,SLSS49E-3,SOT-23,62.775,-133.575,90.0,top
HE37,SLSS49E-3,SOT-23,81.825,-133.575,90.0,top
HE38,SLSS49E-3,SOT-23,127.06875,-133.575,90.0,top
HE39,SLSS49E-3,SOT-23,174.69375,-133.575,90.0,top
HE4,SLSS49E-3,SOT-23,100.875,-76.425,90.0,top
HE40,SLSS49E-3,SOT-23,208.03125,-133.575,90.0,top
HE41,SLSS49E-3,SOT-23,229.4625,-133.575,90.0,top
HE42,SLSS49E-3,SOT-23,250.89375,-133.575,90.0,top
HE5,SLSS49E-3,SOT-23,119.925,-76.425,90.0,top
HE6,SLSS49E-3,SOT-23,138.975,-76.425,90.0,top
HE7,SLSS49E-3,SOT-23,158.025,-76.425,90.0,top
HE8,SLSS49E-3,SOT-23,177.075,-76.425,90.0,top
HE9,SLSS49E-3,SOT-23,196.125,-76.425,90.0,top
HEC1,0.1u,C_0402_1005Metric,46.175,-75.4875,-90.0,top
HEC10,0.1u,C_0402_1005Metric,217.625,-75.4875,-90.0,top
HEC11,0.1u,C_0402_1005Metric,236.675,-75.4875,-90.0,top
HEC12,0.1u,C_0402_1005Metric,255.725,-75.4875,-90.0,top
HEC13,0.1u,C_0402_1005Metric,53.31875,-94.5375,-90.0,top
HEC14,0.1u,C_0402_1005Metric,79.5125,-94.5375,-90.0,top
HEC15,0.1u,C_0402_1005Metric,98.5625,-94.5375,-90.0,top
HEC16,0.1u,C_0402_1005Metric,117.6125,-94.5375,-90.0,top
HEC17,0.1u,C_0402_1005Metric,136.6625,-94.5375,-90.0,top
HEC18,0.1u,C_0402_1005Metric,155.7125,-94.5375,-90.0,top
HEC19,0.1u,C_0402_1005Metric,174.7625,-94.5375,-90.0,top
HEC2,0.1u,C_0402_1005Metric,65.225,-75.4875,-90.0,top
HEC20,0.1u,C_0402_1005Metric,193.8125,-94.5375,-90.0,top
HEC21,0.1u,C_0402_1005Metric,212.8625,-94.5375,-90.0,top
HEC22,0.1u,C_0402_1005Metric,231.9125,-94.5375,-90.0,top
HEC23,0.1u,C_0402_1005Metric,253.34375,-94.5375,-90.0,top
HEC24,0.1u,C_0402_1005Metric,46.175,-113.5875,-90.0,top
HEC25,0.1u,C_0402_1005Metric,65.225,-113.5875,-90.0,top
HEC26,0.1u,C_0402_1005Metric,86.65625,-113.5875,-90.0,top
HEC27,0.1u,C_0402_1005Metric,108.0875,-113.5875,-90.0,top
HEC28,0.1u,C_0402_1005Metric,127.1375,-113.5875,-90.0,top
HEC29,0.1u,C_0402_1005Metric,146.1875,-113.5875,-90.0,top
HEC3,0.1u,C_0402_1005Metric,84.275,-75.4875,-90.0,top
HEC30,0.1u,C_0402_1005Metric,165.2375,-113.5875,-90.0,top
HEC31,0.1u,C_0402_1005Metric,184.2875,-113.5875,-90.0,top
HEC32,0.1u,C_0402_1005Metric,203.3375,-113.5875,-90.0,top
HEC33,0.1u,C_0402_1005Metric,222.3875,-113.5875,-90.0,top
HEC34,0.1u,C_0402_1005Metric,248.58125,-113.5875,-90.0,top
HEC35,0.1u,C_0402_1005Metric,46.175,-132.6375,-90.0,top
HEC36,0.1u,C_0402_1005Metric,65.225,-132.6375,-90.0,top
HEC37,0.1u,C_0402_1005Metric,84.275,-132.6375,-90.0,top
HEC38,0.1u,C_0402_1005Metric,129.51875,-132.6375,-90.0,top
HEC39,0.1u,C_0402_1005Metric,177.14375,-132.6375,-90.0,top
HEC4,0.1u,C_0402_1005Metric,103.325,-75.4875,-90.0,top
HEC40,0.1u,C_0402_1005Metric,210.48125,-132.6375,-90.0,top
HEC41,0.1u,C_0402_1005Metric,231.9125,-132.6375,-90.0,top
HEC42,0.1u,C_0402_1005Metric,253.34375,-132.6375,-90.0,top
HEC5,0.1u,C_0402_1005Metric,122.375,-75.4875,-90.0,top
HEC6,0.1u,C_0402_1005Metric,141.425,-75.4875,-90.0,top
